"Date","Tox","type"
"2017-7-01",0.69,"mc"
"2017-7-15",0.45,"mc"
"2017-8-01",0.46,"mc"
"2017-8-15",0.4,"mc"
"2017-9-01",0.97,"mc"
"2017-9-15",0.51,"mc"
"2017-10-01",0.77,"mc"
"2017-10-15",0.4,"mc"
"2017-11-01",0.15,"mc"
"2017-11-15",0.4,"mc"
"2017-12-01",0.4,"mc"
"2017-12-15",0.15,"mc"
"2018-1-01",0.33,"mc"
"2018-1-15",0.97,"mc"
"2018-2-01",0.44,"mc"
"2018-2-15",0.54,"mc"
"2018-3-01",0.44,"mc"
"2018-3-15",0.41,"mc"
"2018-4-01",0.4,"mc"
"2018-4-15",0.3,"mc"
"2018-5-01",0.41,"mc"
"2018-5-15",0.15,"mc"
"2018-6-01",0.46,"mc"
"2018-6-15",0.15,"mc"
"2018-7-01",0.65,"mc"
"2018-7-15",0.27,"mc"
"2018-8-01",0.48,"mc"
"2018-8-15",0.25,"mc"
"2018-9-01",0.18,"mc"
"2018-9-15",0.16,"mc"
"2018-10-01",0.15,"mc"
"2018-10-15",0.15,"mc"
"2018-11-01",0.15,"mc"
"2018-11-15",0.15,"mc"
"2018-12-01",0.15,"mc"
"2018-12-15",0.15,"mc"
"2019-1-01",0.1,"mc"
"2019-1-15",0.1,"mc"
"2019-2-01",0.12,"mc"
"2019-2-15",0.11,"mc"
"2019-3-01",0.15,"mc"
"2019-3-15",0.15,"mc"
"2019-4-01",0.15,"mc"
"2019-4-15",NA,"mc"
"2010-9-01",0.02,"stx"
"2010-9-15",0.02,"stx"
"2010-10-01",0.02,"stx"
"2010-10-15",0.02,"stx"
"2010-11-01",0.05,"stx"
"2010-11-15",0.02,"stx"
"2010-12-01",0.02,"stx"
"2010-12-15",NA,"stx"
"2011-1-01",NA,"stx"
"2011-1-15",0.02,"stx"
"2011-2-01",0.02,"stx"
"2011-2-15",0.02,"stx"
"2011-3-01",0.05,"stx"
"2011-3-15",0.02,"stx"
"2011-4-01",0.02,"stx"
"2011-4-15",0.1,"stx"
"2011-5-01",0.02,"stx"
"2011-5-15",0.02,"stx"
"2011-6-01",0.02,"stx"
"2011-6-15",0.02,"stx"
"2011-7-01",NA,"stx"
"2011-7-15",0.02,"stx"
"2011-8-01",0.02,"stx"
"2011-8-15",0.05,"stx"
"2011-9-01",NA,"stx"
"2011-9-15",0.02,"stx"
"2011-10-01",0.02,"stx"
"2011-10-15",0.02,"stx"
"2011-11-01",0.02,"stx"
"2011-11-15",0.05,"stx"
"2011-12-01",0.02,"stx"
"2011-12-15",0.02,"stx"
"2012-1-01",0.02,"stx"
"2012-1-15",0.1,"stx"
"2012-2-01",0.05,"stx"
"2012-2-15",0.05,"stx"
"2012-3-01",0.1,"stx"
"2012-3-15",0.1,"stx"
"2012-4-01",0.1,"stx"
"2012-4-15",0.1,"stx"
"2012-5-01",0.1,"stx"
"2012-5-15",0.1,"stx"
"2012-6-01",0.07,"stx"
"2012-6-15",0.07,"stx"
"2012-7-01",0.4,"stx"
"2012-7-15",0.13,"stx"
"2012-8-01",0.11,"stx"
"2012-8-15",0.14,"stx"
"2012-9-01",0.22,"stx"
"2012-9-15",0.23,"stx"
"2012-10-01",0.2,"stx"
"2012-10-15",0.14,"stx"
"2012-11-01",0.63,"stx"
