Número do Laudo,UNIDADE,TIPO DE AMOSTRA,TIPO DE COLETA,PONTO DE AMOSTRAGEM,MANANCIAL,LOCALIDADE,COD. PONTO,ENDERECO,SETOR,INTERESSADO,PARAMETRO,Metodologia,FRASCO,LIMITE INFERIOR,VALOR RESULTADO,VALOR LITERAL,LIMITE SUPERIOR,DATA DE COLETA,DATA DE ENTRADA,FORA DO PADRAO
N?  2173342-A/2173342/UN-BAC,UN-BAC,Água Tratada Rede de Distribuição,ARCE,Torneira do jardim,Açude Ayres de Sousa,APRAZIVEL,326792,Av. Dep. Antônio Custódio de Azevedo - FNS 30 - Centro,UNBAC-APRAZIVEL,ARCE (UN-BAC),Cor Aparente,"2120 B, SMEWW 23rd Ed., 2017",2030,0,15,15,15,26/03/2019,27/03/2019,0
N?  2173345-A/2173345/UN-BAC,UN-BAC,Água Tratada Rede de Distribuição,ARCE,Torneira do jardim,Açude Ayres de Sousa,APRAZIVEL,326793,Rua Nelson Aguiar - Centro,UNBAC-APRAZIVEL,ARCE (UN-BAC),Cor Aparente,"2120 B, SMEWW 23rd Ed., 2017",2031,0,10,10,15,26/03/2019,27/03/2019,0
N?  2173349-A/2173349/UN-BAC,UN-BAC,Água Tratada Rede de Distribuição,ARCE,Torneira do jardim,Açude Ayres de Sousa,IPUEIRAS,326794,Rua das Flores - FNS 81,UNBAC-IPUEIRAS,ARCE (UN-BAC),Cor Aparente,"2120 B, SMEWW 23rd Ed., 2017",2032,0,10,10,15,26/03/2019,27/03/2019,0
N?  2173353-A/2173353/UN-BAC,UN-BAC,Água Tratada Rede de Distribuição,ARCE,Torneira do jardim,Açude Ayres de Sousa,IPUEIRAS,326795,Rua das Flores - FNS 53,UNBAC-IPUEIRAS,ARCE (UN-BAC),Cor Aparente,"2120 B, SMEWW 23rd Ed., 2017",2033,0,10,10,15,26/03/2019,27/03/2019,0
N?  2173359-A/2173359/UN-BAC,UN-BAC,Água Tratada Rede de Distribuição,ARCE,Torneira do jardim,Açude Ayres de Sousa,IPUEIRAS,326796,"Rua das Flores, s/n",UNBAC-IPUEIRAS,ARCE (UN-BAC),Cor Aparente,"2120 B, SMEWW 23rd Ed., 2017",2034,0,10,10,15,26/03/2019,27/03/2019,0
N?  2173361-A/2173361/UN-BAC,UN-BAC,Água Tratada Rede de Distribuição,ARCE,Torneira do jardim,Açude Ayres de Sousa,IPUEIRAS,326797,Vila Jarina - FNS 15,UNBAC-IPUEIRAS,ARCE (UN-BAC),Cor Aparente,"2120 B, SMEWW 23rd Ed., 2017",2035,0,15,15,15,26/03/2019,27/03/2019,0
N?  2151533-A/2151533/UN-BAC,UN-BAC,Água Bruta,Completa,Direto do poço,Poço,SOBRAL,325802,"Rua Antônio Crisóstomo de Melo, nº 919",SOBRAL,Santa Casa de Misericórdia de Sobral,Cor Aparente,"2120 B, SMEWW 22nd Ed., 2012",3010,0,"2,5","2,5",10000000,17/01/2019,17/01/2019,0
N?  2152708-A/2152708/UN-BAC,UN-BAC,Água Bruta,Completa,Torneira da lavanderia,Poço,SOBRAL,325943,"Praça Quirino Rodrigues, nº 76/4, Centro",SOBRAL,Obra Social Nossa Senhora da Glória - Fazenda da Esperança,Cor Aparente,"2120 B, SMEWW 22nd Ed., 2012",3012,0,"2,5","2,5",10000000,22/01/2019,22/01/2019,0
N?  2155957-A/2155957/UN-BAC,UN-BAC,Água Bruta,Completa,Direto do poço,Poço - 01,URUOCA,326103,"Fazenda Macambira, localidade de serra da Goiana (poço geral)",UNBAC-URUOCA,"Vermont Mineração, Exportação e Importação LTDA",Cor Aparente,"2120 B, SMEWW 22nd Ed., 2012",3018,0,"2,5","2,5",10000000,31/01/2019,31/01/2019,0
N?  2155960-A/2155960/UN-BAC,UN-BAC,Água Bruta,Completa,Direto do poço,Poço 02,URUOCA,326102,"Fazenda Macambira, localidade de serra da Goiana (poço perto da oficina)",UNBAC-URUOCA,"Vermont Mineração, Exportação e Importação LTDA",Cor Aparente,"2120 B, SMEWW 22nd Ed., 2012",3019,0,"2,5","2,5",10000000,31/01/2019,31/01/2019,0
