Número do Laudo,UNIDADE,TIPO DE AMOSTRA,TIPO DE COLETA,PONTO DE AMOSTRAGEM,MANANCIAL,LOCALIDADE,COD. PONTO,ENDERECO,SETOR,INTERESSADO,PARAMETRO,Metodologia,FRASCO,LIMITE INFERIOR,VALOR RESULTADO,VALOR LITERAL,LIMITE SUPERIOR,DATA DE COLETA,DATA DE ENTRADA,FORA DO PADRAO
N?  2160340-A/2160340/UN-BBA,UN-BBA,Água Tratada Rede de Distribuição,Completa,Torneira de entrada,Açude Pedras Brancas,QUIXADÁ,75461,"R. Clarindo de Queiroz, 224 - Clin. Hemodiálise",Clínica de Hemodiálise,UNBBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2,0,"146,4","146,4",1000000,12/02/2019,12/02/2019,0
N?  2179780-A/2179780/UN-BBA,UN-BBA,Água Tratada Rede de Distribuição,Completa,Torneira de entrada,Açude Pedras Brancas,QUIXADÁ,75461,"R. Clarindo de Queiroz, 224 - Clín. Hemodiálise",Clínica de Hemodiálise,UNBBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2,0,"125,5","125,5",1000000,09/04/2019,09/04/2019,0
N?  2169810-A/2169810/UN-BBA,UN-BBA,Água Tratada Rede de Distribuição,Completa,Torneira de entrada,Açude Pedras Brancas,QUIXADÁ,75461,"R. Clarindo de Queiroz, 224 - Clín. Hemodiálise",Clínica de Hemodiálise,UNBBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2,0,"130,2","130,2",1000000,12/03/2019,12/03/2019,0
N?  2148049-A/2148049/UN-BBA,UN-BBA,Água Tratada Rede de Distribuição,Completa,Torneira de entrada,Açude General Sampaio,CAMPOS BELOS,274103,"Rua Baliza, s/n (Posto de Saúde) - Semestral",CAMPOS BELOS,UN BBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",3,0,"123,8","123,8",1000000,07/01/2019,07/01/2019,0
N?  2148054-A/2148054/UN-BBA,UN-BBA,Água Bruta,Completa,Direto do manancial,Açude Pesqueiro,CAPISTRANO,173941,Manancial - SEMESTRAL,UNBBA-CAPISTRANO,UN BBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",17,0,"150,1","150,1",10000000,09/01/2019,09/01/2019,0
N?  2148055-A/2148055/UN-BBA,UN-BBA,Água Tratada Saída Sistema,Completa,Torneira de saída da ETA,Açude Pesqueiro,CAPISTRANO,85484,Estação de Tratamento de Água - SEMESTRAL,UNBBA-CAPISTRANO,UN-BBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",19,0,"135,9","135,9",1000000,09/01/2019,09/01/2019,0
N?  2148056-A/2148056/UN-BBA,UN-BBA,Água Tratada Rede de Distribuição,Completa,Torneira de entrada,Açude Pesqueiro,CAPISTRANO,156681,"R. Antonio Fernandes Bezerra, nº 350 - Semestral",UNBBA-CAPISTRANO,UN BBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",22,0,"133,9","133,9",1000000,09/01/2019,09/01/2019,0
N?  2148062-A/2148062/UN-BBA,UN-BBA,Água Bruta,Completa,Direto do manancial,Açude São Domingos,CARIDADE,182923,Manancial - SEMESTRAL,UNBBA-CARIDADE,UN BBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",30,0,"89,3","89,3",10000000,07/01/2019,07/01/2019,0
N?  2148063-A/2148063/UN-BBA,UN-BBA,Água Tratada Saída Sistema,Completa,Torneira de saída da ETA,Açude São Domingos,CARIDADE,58427,Estação de Tratamento de Água - SEMESTRAL,UNBBA-CARIDADE,UN-BBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",33,0,"58,8","58,8",1000000,07/01/2019,07/01/2019,0
N?  2148064-A/2148064/UN-BBA,UN-BBA,Água Tratada Rede de Distribuição,Completa,Torneira de entrada,Açude São Domingos,CARIDADE,156701,"BR 020, Km 324, nº 370 - Semestral",UNBBA-CARIDADE,UN BBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",34,0,"56,8","56,8",1000000,07/01/2019,07/01/2019,0
N?  2148072-A/2148072/UN-BBA,UN-BBA,Água Bruta,Completa,Direto do manancial,Açude Pompeu Sobrinho,CHORO,82523,Manancial - SEMESTRAL,UNBBA-CHORO,UN-BBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",43,0,"247,5","247,5",10000000,07/01/2019,07/01/2019,0
N?  2148073-A/2148073/UN-BBA,UN-BBA,Água Tratada Saída Sistema,Completa,Torneira de saída da ETA,Açude Pompeu Sobrinho,CHORO,85405,Estação de Tratamento de Água - SEMESTRAL,UNBBA-CHORO,UN-BBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",45,0,284,284,1000000,07/01/2019,07/01/2019,0
N?  2148074-A/2148074/UN-BBA,UN-BBA,Água Tratada Rede de Distribuição,Completa,Torneira de entrada,Açude Pompeu Sobrinho,CHORO,156702,"R. Joaquim Moreira de Oliveira, nº 135 - Semestral",UNBBA-CHORO,UN BBA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",53,0,284,284,1000000,07/01/2019,07/01/2019,0
